type,"filter"
name,"Askar 6nm Duo Narrowband (OIII SII)"
channel,"Dual band"
wavelength,"461.1476285,462.9618074,464.9826397,466.9677051,468.934887,470.8841855,472.8513674,474.8384199,476.7857313,478.6634958,480.8095125,483.0449465,485.0121284,486.9793103,488.9464923,490.9136742,492.8808561,494.430757,495.1162901,495.3845422,495.7422117,495.9568133,496.135648,496.3144828,496.3681332,496.5171621,496.5469679,496.6721522,496.81522,496.8509869,496.9046373,496.9940547,497.0298216,497.0387634,497.1728894,497.2086564,497.2175981,497.3517241,497.3517241,497.3517241,497.3874911,497.5305589,497.5305589,497.5663258,497.7093936,497.7093936,497.7451605,497.8882283,497.8882283,497.9239952,498.067063,498.067063,498.10283,498.2458977,498.3055093,498.4604994,498.6482759,498.7824019,499.2294887,500.5982621,501.250321,501.420214,501.4649227,501.6437574,501.6437574,501.7778835,502.0014269,502.3143876,502.4932224,502.7167658,502.8598335,503.0386683,503.1191439,503.2085612,503.2532699,503.387396,503.4321046,503.5513278,503.6109394,503.6109394,503.7450654,503.7897741,503.9089972,503.9686088,503.9686088,503.9686088,504.1474435,504.2368609,504.2815696,504.3262782,504.4604043,504.505113,504.5945303,504.639239,504.8270155,504.9969084,505.2204518,505.3992866,505.9059849,507.3664685,509.3336504,511.3008323,513.2680143,515.2351962,517.2023781,519.16956,521.1725089,523.1039239,525.0711058,527.0561712,529.0054697,530.9726516,533.1186683,535.1037337,537.0530321,538.8413793,540.987396,543.1334126,545.118478,547.0856599,548.8561237,551.0021403,552.9693222,554.9365042,556.9036861,558.870868,560.8380499,562.6263971,562.7853613,564.5935791,564.7724138,566.560761,566.7395957,568.2596908,568.7783115,570.614348,572.6053746,574.6083234,576.5755054,578.5426873,580.4741023,582.4770511,584.4442331,586.411415,588.3785969,590.2921284,592.3308442,594.2086088,596.1757907,598.2145065,600.1816885,602.1488704,604.026635,605.9938169,608.0504162,610.0175981,611.9668966,613.951962,616.0979786,618.0651605,620.0323424,621.9995244,624.145541,626.1127229,628.0799049,629.9576694,632.0142687,633.9814507,635.9307491,637.897931,639.8829964,641.8501784,643.8173603,645.7487753,647.7159572,649.7189061,651.8251817,653.6532699,655.6204518,657.5876338,659.5548157,661.5219976,663.4891795,664.9556243,665.4563615,665.8497979,666.2074673,666.3952438,666.5740785,666.7082045,666.7976219,666.8870392,666.9585731,667.1254855,667.2804756,667.334126,667.4593103,667.5129608,667.6381451,667.7812128,667.8169798,667.9600476,667.9958145,668.1388823,668.1746492,668.317717,668.3534839,668.4071344,668.5323187,668.5859691,668.7111534,668.7648038,668.8542212,668.8899881,669.0688228,669.1224732,669.2476576,669.4264923,669.56956,669.7841617,669.9719382,670.1507729,670.3296076,670.5084423,671.119461,671.9341525,673.1015458,673.3250892,673.5039239,673.7185256,673.8615933,674.0046611,674.1596512,674.1745541,674.3384859,674.3533888,674.4338644,674.5322235,674.6126992,674.7110583,674.7557669,674.8451843,674.8451843,674.889893,674.9346017,675.0538248,675.0687277,675.1581451,675.2028537,675.2475624,675.2922711,675.4114943,675.4263971,675.4711058,675.6052319,675.6499405,675.7393579,675.8287753,675.8287753,675.9629013,676.00761,676.1506778,676.3295125,676.4994055,676.6782402,676.9017836,677.0806183,677.5098216,678.5112961,680.1208086,682.0879905,684.0551724,686.0223543,687.9895363,689.9567182,691.9239001,694.0301757,695.858264,697.789679,699.345541"
transmission,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095431931,0.350520127,1.484245439,3.199004975,4.991708126,7.31053068,10.10480929,12.91077944,15.66998342,18.00829187,19.93090105,22.91873964,24.7893864,27.30956329,29.25087894,31.72636816,38.42951907,35.8106136,33.18781095,43.72968491,41.79668325,39.28689884,46.89939193,45.26257601,51.8358209,49.22384374,52.64123825,57.13598673,54.82885572,58.14925373,62.5920398,60.19137645,63.70923162,67.89220564,65.8344942,69.2432283,73.97180763,71.50878939,77.71310116,75.55666114,79.86434494,82.81840796,84.93587617,87.0858209,88.55325934,84.58772803,79.62271973,81.96102819,77.45328911,75.73852957,73.42230514,71.18532338,68.96393035,66.89842454,64.95632946,62.3893864,59.38076285,56.90215589,52.77114428,54.64179104,48.04776119,50.18731343,45.65229409,43.6777225,41.96296296,37.16293532,39.47396352,35.05196241,32.76561636,31.05085683,29.28413488,26.80033167,24.86733002,21.04809287,22.89275843,16.74170813,18.57987839,14.89054726,13.11733002,10.30746269,7.641791045,5.771144279,4.030403538,1.912935323,0.478064224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052917232,0.400120609,1.764842454,3.250967385,5.038474295,7.548258706,10.11650083,12.24046434,14.44886678,16.13764511,19.56716418,17.89917081,21.33388612,24.55555556,26.97180763,28.85804312,31.33665008,33.22288557,35.75345495,37.76232172,40.19624102,42.32669983,44.92482034,47.00331675,49.47153123,51.55522388,54.17412935,56.10713101,58.53897181,60.4363421,62.90381426,67.58043118,65.10182421,68.70671642,71.08789386,73.33266998,76.37247098,79.31094527,82.14029851,84.98134328,87.16376451,89.83333333,91.82089552,94.53593145,95.76137829,93.18490879,91.27529022,89.01492537,86.50514096,84.13045882,81.45439469,78.90823659,76.71932007,74.49143173,72.11577529,69.74726368,64.20936982,66.48922056,59.88349917,61.76064124,58.07131012,56.35655058,52.79063018,54.69375345,50.58872305,46.36677722,48.39331122,44.27529022,40.65091211,42.53454947,38.42951907,34.82462687,36.66279713,29.85572139,32.31094527,28.21890547,26.47816473,24.7634052,20.07379768,22.13930348,17.38474295,14.56318408,11.94817579,9.824212272,7.82365948,5.732172471,3.83814262,1.595593461,0.230061812,0,0,0,0,0,0,0,0,0,0"
